Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,Unnamed: 16,Genre
26-01-2017,Khaidi No 150,Telugu,V.V. Vinayak,Chiranjeevi,80,20.0,2500,1.0,110.0,40.0,150.0,70.0,87.0,7.1,SUPER HIT,,Action
27-01-2017,Om Namo Venkatesaya,Telugu,K Raghavendra Rao,Nagarjuna,50,5.0,1500,0.5,25.0,10.0,35.0,-15.0,-30.0,5.8,FLOP,,Historical
27-01-2017,Enakku Vaaitha Adimaigal,Tamil,Mahendran,S Jai,6,1.0,450,0.2,10.0,4.0,14.0,8.0,133.0,5.8,AVERAGE,,Comedy
03-02-2017,Nenu Local,Telugu,Trinadha Rao Nakkina,Nani,15,5.0,1400,1.0,55.0,30.0,85.0,70.0,467.0,6.8,HIT,,Comedy
03-02-2017,Haripada Bandwala,Bengali,Pathikrit Basu,Ankush Hazra,6,1.2,450,0.05,10.0,4.0,14.0,8.0,133.0,6.0,HIT,,Comedy
09-02-2017,Singam 3,Tamil,Hari,Suriya,65,15.0,2200,2.0,75.0,35.0,110.0,45.0,69.0,6.0,AVERAGE,,Action
10-02-2017,Jolly LLB 2,Hindi,Subhash Kapoor,Akshay Kumar,45,13.0,2800,117.0,150.0,47.0,197.0,152.0,338.0,7.2,HIT,,Comedy
10-02-2017,Rangoon,Hindi,Vishal Bhardwaj,Shahid Kapoor,80,6.0,2200,22.0,30.0,10.0,40.0,-40.0,-50.0,5.6,DISASTER,,Historical
10-02-2017,Maj Rati Keteki,Assamese,Santwana Bardoloi,Adil Hussain,3,0.4,200,0.01,4.0,1.5,5.5,2.5,83.0,7.4,HIT,,Drama
10-02-2017,Vitamin She,Gujarati,Faisal Hashmi,Dhvanit Thaker,4,0.7,300,0.02,6.0,2.0,8.0,4.0,100.0,6.4,HIT,,Drama
10-02-2017,Yaakkai,Tamil,Kuzhandhai Velappan,Krishna,7,1.1,500,0.2,12.0,5.0,17.0,10.0,142.0,5.6,AVERAGE,,Drama
17-02-2017,Ghazi,Telugu,Sankalp Reddy,Rana Daggubati,15,3.0,1200,5.0,20.0,14.0,34.0,19.0,127.0,7.6,HIT,,Action
17-02-2017,Running Shaadi,Hindi,Amit Roy,Amit Sadh,12,1.0,500,4.0,5.0,1.0,6.0,-6.0,-50.0,6.3,FLOP,,Comedy
17-02-2017,Raajakumara Special,Kannada,Santhosh Ananddram,Puneeth Rajkumar,25,5.0,1400,0.2,40.0,15.0,55.0,30.0,120.0,7.8,SUPER HIT,,Action
23-02-2017,Hebbuli,Kannada,S Krishna,Sudeep,45,8.0,1500,0.2,50.0,30.0,80.0,35.0,78.0,6.5,HIT,,Action
24-02-2017,Phillauri,Hindi,Anshai Lal,Anushka Sharma,21,4.0,1500,28.0,35.0,15.0,50.0,29.0,138.0,6.1,AVERAGE,,Supernatural
03-03-2017,Commando 2,Hindi,Deven Bhojani,Vidyut Jammwal,25,5.0,1500,25.0,30.0,5.0,35.0,10.0,40.0,5.4,FLOP,,Action
03-03-2017,Naam Shabana,Hindi,Shivam Nair,Taapsee Pannu,33,5.0,1800,37.0,56.0,10.0,66.0,33.0,100.0,6.2,HIT,,Action
03-03-2017,Katamarayudu Returns,Telugu,Kishore Pardasani,Pawan Kalyan,85,22.0,2800,0.8,75.0,20.0,95.0,10.0,11.0,6.0,AVERAGE,,Action
10-03-2017,Badrinath Ki Dulhania,Hindi,Shashank Khaitan,Varun Dhawan,39,12.0,2600,116.0,160.0,41.0,201.0,162.0,415.0,6.2,SUPER HIT,,Romance
10-03-2017,Katamarayudu,Telugu,Kishore Kumar Pardasani,Pawan Kalyan,90,25.0,3000,1.0,70.0,20.0,90.0,0.0,0.0,5.5,AVERAGE,,Action
10-03-2017,Shutter,Tulu,Ramdas Naik,Anita Bhat,3,0.3,150,0.01,3.0,1.0,4.0,1.0,33.0,6.3,AVERAGE,,Horror
10-03-2017,Kavan,Tamil,K V Anand,Vijay Sethupathi,35,6.0,1200,1.0,40.0,12.0,52.0,17.0,48.0,7.2,HIT,,Drama
17-03-2017,Machine,Hindi,Abbas Mustan,Mustafa Burmawala,30,3.0,1500,15.0,18.0,2.0,20.0,-10.0,-33.0,2.7,DISASTER,,Action
17-03-2017,Trapped,Hindi,Vikramaditya Motwane,Rajkummar Rao,5,0.6,400,3.0,4.0,1.0,5.0,0.0,0.0,7.6,AVERAGE,,Thriller
17-03-2017,Wrong Side Raju,Gujarati,Mikhil Musale,Pratik Gandhi,4,0.7,300,0.02,6.0,3.0,9.0,5.0,125.0,7.6,HIT,,Comedy
17-03-2017,Ti Saddhya Kay Karte,Marathi,Satish Rajwade,Ankush Chaudhari,3,0.7,350,0.03,7.0,2.0,9.0,6.0,200.0,7.4,SUPER HIT,,Drama
17-03-2017,C/O Saira Banu,Malayalam,Antony Sony,RJ Mathukutty,6,1.0,600,0.2,10.0,4.0,14.0,8.0,133.0,6.8,HIT,,Drama
17-03-2017,Paambhu Sattai,Tamil,Adam Dasan,Bobby Simha,6,0.9,450,0.2,9.0,3.0,12.0,6.0,100.0,5.4,AVERAGE,,Action
17-03-2017,Anando Brahma,Telugu,Mahi V Raghav,Taapsee Pannu,10,2.5,900,0.2,30.0,12.0,42.0,32.0,320.0,7.4,SUPER HIT,,Comedy
24-03-2017,Take Off,Malayalam,Mahesh Narayanan,Fahadh Faasil,25,4.0,1400,0.5,45.0,30.0,75.0,50.0,200.0,8.2,HIT,,Thriller
24-03-2017,Raajakumara,Kannada,Santhosh Ananddram,Puneeth Rajkumar,20,5.0,1500,0.2,45.0,30.0,75.0,55.0,275.0,8.0,BLOCKBUSTER,,Action
24-03-2017,Gunturodu,Telugu,S K Satya,Manchu Manoj,12,2.0,900,0.2,10.0,4.0,14.0,2.0,16.0,5.4,AVERAGE,,Action
30-03-2017,The Great Father,Malayalam,Haneef Adeni,Mammootty,10,2.0,1000,0.5,35.0,25.0,60.0,50.0,500.0,6.6,HIT,,Thriller
31-03-2017,Shuddhi,Kannada,Adarsh Eshwarappa,Lauren Spartano,5,0.6,300,0.1,5.0,2.0,7.0,2.0,40.0,7.0,HIT,,Drama
31-03-2017,8 Thottakkal,Tamil,Sri Ganesh,Vettri,4,0.8,350,0.2,8.0,3.0,11.0,7.0,175.0,7.6,HIT,,Crime
07-04-2017,Begum Jaan,Hindi,Srijit Mukherji,Vidya Balan,19,3.0,1200,19.0,25.0,3.0,28.0,9.0,47.0,5.5,AVERAGE,,Historical
07-04-2017,Rabb Da Radio,Punjabi,Tarnvir Singh Jagpal,Tarsem Jassar,7,1.5,600,0.03,18.0,12.0,30.0,23.0,328.0,7.8,BLOCKBUSTER,,Drama
07-04-2017,Nachom-ia Kumpasar,Konkani,Bardroy Barretto,Vijay Maurya,3,0.3,120,0.01,2.5,1.0,3.5,0.5,16.0,7.2,HIT,,Musical
07-04-2017,Kittu Unnadu Jagratha,Telugu,Vamsi Krishna,Raj Tarun,10,2.2,800,0.1,12.0,5.0,17.0,7.0,70.0,6.1,HIT,,Comedy
14-04-2017,Boss 2,Bengali,Baba Yadav,Jeet,10,3.0,700,0.1,25.0,8.0,33.0,23.0,230.0,6.1,HIT,,Action
14-04-2017,Hero No 1,Odia,Tapas Sargharia,Babushan Mohanty,4,0.8,350,0.02,6.0,3.0,9.0,5.0,125.0,6.2,HIT,,Comedy
14-04-2017,Shikari,Bengali,Joydeep Mukherjee,Shakib Khan,12,2.2,700,0.06,20.0,8.0,28.0,16.0,133.0,6.3,HIT,,Action
14-04-2017,Power Paandi,Tamil,Dhanush,Rajkiran,8,1.5,600,0.3,18.0,6.0,24.0,16.0,200.0,7.9,HIT,,Drama
14-04-2017,Kirik Party,Kannada,Rishab Shetty,Rakshit Shetty,4,1.2,600,0.05,35.0,8.0,43.0,39.0,975.0,8.4,BLOCKBUSTER,,Comedy
21-04-2017,Manje Bistre,Punjabi,Baljit Singh Deo,Gippy Grewal,9,2.5,600,0.05,22.0,18.0,40.0,31.0,344.0,6.8,HIT,,Comedy
21-04-2017,Maatr,Hindi,Ashtar Sayed,Raveena Tandon,15,1.0,800,5.0,6.0,1.0,7.0,-8.0,-53.0,4.8,DISASTER,,Thriller
21-04-2017,Kaatru Veliyidai,Tamil,Mani Ratnam,Karthi,45,7.0,1400,1.0,35.0,15.0,50.0,5.0,11.0,6.7,AVERAGE,,Romance
21-04-2017,Kadugu,Tamil,Vijay Milton,Rajakumaran,5,0.7,300,0.2,7.0,2.0,9.0,4.0,80.0,7.1,HIT,,Thriller
28-04-2017,Baahubali 2 The Conclusion,Telugu,S.S. Rajamouli,Prabhas,250,41.0,9000,511.0,1030.0,780.0,1810.0,1560.0,624.0,8.2,ALL TIME BLOCKBUSTER,,Action
28-04-2017,Baahubali 2 Tamil,Tamil,S.S. Rajamouli,Prabhas,250,38.0,4500,5.0,450.0,300.0,750.0,500.0,200.0,8.3,BLOCKBUSTER,,Action
28-04-2017,Aby,Malayalam,Srikant Murali,Vineeth Sreenivasan,5,0.8,500,0.2,8.0,3.0,11.0,6.0,120.0,6.3,HIT,,Drama
05-05-2017,CIA Comrade In America,Malayalam,Amal Neerad,Dulquer Salmaan,15,3.0,1200,0.5,30.0,20.0,50.0,35.0,233.0,6.5,AVERAGE,,Action
05-05-2017,Meri Pyaari Bindu,Hindi,Akshay Roy,Ayushmann Khurrana,22,2.5,1200,10.0,12.0,3.0,15.0,-7.0,-31.0,6.0,FLOP,,Romance
05-05-2017,Tu Mo Love Story,Odia,Tapas Sargharia,Swaraj Barik,3,0.6,250,0.02,6.0,3.0,9.0,6.0,200.0,6.8,HIT,,Romance
12-05-2017,Local Kung Fu 2,Assamese,Kenny Basumatary,Kenny Basumatary,2,0.2,150,0.01,3.0,2.0,5.0,3.0,150.0,7.1,HIT,,Action
12-05-2017,Chaamp,Bengali,Raj Chakraborty,Dev,15,3.5,800,0.1,30.0,10.0,40.0,25.0,166.0,7.4,HIT,,Sports
12-05-2017,Amchem Noxib,Konkani,Joao Fernandes,Prince Jacob,2,0.2,120,0.01,2.0,0.5,2.5,0.5,25.0,6.1,AVERAGE,,Drama
12-05-2017,Magalir Mattum,Tamil,Bramma,Jyothika,6,1.0,400,0.2,10.0,4.0,14.0,8.0,133.0,7.3,HIT,,Drama
18-05-2017,Posto,Bengali,Nandita Roy,Prosenjit Chatterjee,3,0.5,400,0.1,5.0,3.0,8.0,5.0,167.0,7.5,HIT,,Drama
19-05-2017,Hindi Medium,Hindi,Saket Chaudhary,Irrfan Khan,14,2.0,1500,69.0,110.0,223.0,333.0,319.0,2278.0,7.8,BLOCKBUSTER,,Comedy
19-05-2017,Half Girlfriend,Hindi,Mohit Suri,Arjun Kapoor,58,10.0,2200,60.0,75.0,22.0,97.0,39.0,67.0,4.5,AVERAGE,,Romance
19-05-2017,Sangili Bungili Kadhava Thorae,Tamil,Ike,Radhika Sarathkumar,7,1.5,600,0.5,10.0,3.0,13.0,6.0,85.0,6.2,HIT,,Comedy
19-05-2017,Maragadha Naanayam,Tamil,Ark Saravan,Aadhi Pinisetty,10,2.5,900,0.5,20.0,8.0,28.0,18.0,180.0,7.5,HIT,,Comedy
19-05-2017,Godha,Malayalam,Basil Joseph,Tovino Thomas,10,2.0,700,0.2,18.0,6.0,24.0,14.0,140.0,7.5,HIT,,Sports
26-05-2017,Bibaho Diaries,Bengali,Mainak Bhaumik,Ritwick Chakraborty,4,0.7,350,0.05,6.0,2.0,8.0,4.0,100.0,6.8,HIT,,Comedy
26-05-2017,Rarandoi Veduka Chudham,Telugu,Kalyan Krishna,Naga Chaitanya,40,6.0,1400,0.5,35.0,12.0,47.0,7.0,17.0,6.7,HIT,,Romance
02-06-2017,Dobaara,Hindi,Prawaal Raman,Huma Qureshi,15,0.7,600,2.0,3.0,1.0,4.0,-11.0,-73.0,4.9,DISASTER,,Horror
02-06-2017,Thondan,Tamil,Samuthirakani,Vikranth,8,1.0,500,0.3,7.0,2.0,9.0,1.0,12.0,6.4,AVERAGE,,Action
02-06-2017,Love Ni Bhavai,Gujarati,Saandeep Patel,Malhar Thakar,5,0.9,350,0.02,8.0,3.0,11.0,6.0,120.0,7.0,HIT,,Romance
02-06-2017,Meesaya Murukku,Tamil,Hiphop Tamizha Adhi,Hiphop Tamizha Adhi,4,0.9,350,0.2,12.0,5.0,17.0,13.0,325.0,7.5,SUPER HIT,,Musical
09-06-2017,Raabta,Hindi,Dinesh Vijan,Sushant Singh Rajput,60,5.5,2000,26.0,35.0,15.0,50.0,-10.0,-16.7,4.7,FLOP,,Romance
16-06-2017,Super Singh,Punjabi,Anurag Singh,Diljit Dosanjh,12,3.5,800,0.05,35.0,25.0,60.0,48.0,400.0,6.5,HIT,,Action
16-06-2017,Bank Chor,Hindi,Bumpy,Yami Gautam,25,2.0,1200,8.0,10.0,2.0,12.0,-13.0,-52.0,5.0,DISASTER,,Comedy
16-06-2017,Ami Thumi,Telugu,Mohan Krishna Indraganti,Adivi Sesh,6,1.2,500,0.1,8.0,3.0,11.0,5.0,83.0,7.2,HIT,,Romance
23-06-2017,Tubelight,Hindi,Kabir Khan,Salman Khan,135,21.0,4350,121.0,150.0,61.0,211.0,76.0,56.0,4.0,FLOP,,Drama
23-06-2017,Amazon Obhijaan,Bengali,Kamalika Banerjee,Dev,20,4.0,900,0.2,35.0,15.0,50.0,30.0,150.0,6.6,HIT,,Adventure
23-06-2017,Vanamagan,Tamil,A L Vijay,Jayam Ravi,35,6.0,1200,0.5,30.0,10.0,40.0,5.0,14.0,6.1,AVERAGE,,Action
30-06-2017,Guest iin London,Hindi,Ashwani Dhir,Kartik Aaryan,18,1.2,800,10.0,12.0,2.0,14.0,-4.0,-22.0,5.4,FLOP,,Comedy
30-06-2017,Muramba,Marathi,Varun Narvekar,Amey Wagh,3,0.6,350,0.03,7.0,3.0,10.0,7.0,233.0,7.4,HIT,,Drama
30-06-2017,Role Models,Malayalam,Rafi,Fahadh Faasil,14,2.2,800,0.3,20.0,7.0,27.0,13.0,92.0,6.7,HIT,,Comedy
07-07-2017,Mom,Hindi,Ravi Udyawar,Sridevi,40,3.0,1500,36.0,50.0,125.0,175.0,135.0,338.0,7.2,HIT,,Thriller
07-07-2017,Sasura Bada Paisawala 2,Bhojpuri,Ajay Kumar,Pawan Singh,6,1.3,600,0.02,15.0,8.0,23.0,17.0,283.0,6.4,HIT,,Comedy
07-07-2017,Shob Bhooturey,Bengali,Birsa Dasgupta,Abir Chatterjee,5,0.9,400,0.05,7.0,3.0,10.0,5.0,100.0,6.5,HIT,,Comedy
07-07-2017,Sunday Holiday,Malayalam,Jis Joy,Asif Ali,8,1.8,700,0.3,18.0,5.0,23.0,15.0,187.0,7.2,HIT,,Comedy
14-07-2017,Jagga Jasoos,Hindi,Anurag Basu,Ranbir Kapoor,131,8.0,2500,54.0,70.0,30.0,100.0,-31.0,-24.0,6.4,FLOP,,Adventure
14-07-2017,VIP 2,Tamil,Soundarya Rajinikanth,Dhanush,35,7.0,1200,1.0,55.0,25.0,80.0,45.0,128.0,5.8,AVERAGE,,Action
14-07-2017,Ivan Thanthiran,Tamil,R Kannan,Gautham Karthik,8,1.8,700,0.4,14.0,4.0,18.0,10.0,125.0,6.4,HIT,,Thriller
14-07-2017,Vikram Vedha Special,Tamil,Pushkar Gayathri,Madhavan,11,3.0,900,0.3,40.0,15.0,55.0,44.0,400.0,8.4,BLOCKBUSTER,,Crime
21-07-2017,Vikram Vedha,Tamil,Pushkar Gayathri,Madhavan,11,3.0,900,3.0,40.0,20.0,60.0,49.0,445.0,8.3,HIT,,Crime
21-07-2017,Fidaa,Telugu,Sekhar Kammula,Varun Tej,12,4.0,1500,2.0,60.0,30.0,90.0,78.0,650.0,7.4,SUPER HIT,,Romance
21-07-2017,Munna Michael,Hindi,Sabbir Khan,Tiger Shroff,41,6.0,2000,32.0,35.0,12.0,47.0,6.0,15.0,3.4,FLOP,,Musical
21-07-2017,Abhaya,Assamese,Biju Phukan,Biju Phukan,3,0.3,200,0.01,4.0,2.0,6.0,3.0,100.0,6.5,AVERAGE,,Action
21-07-2017,Thug Life,Punjabi,Mukesh Vohra,Harish Verma,6,1.0,500,0.03,12.0,8.0,20.0,14.0,233.0,6.3,HIT,,Crime
21-07-2017,Goutham Nanda,Telugu,Sampath Nandi,Gopichand,28,4.0,1200,0.3,22.0,6.0,28.0,0.0,0.0,6.0,AVERAGE,,Action
28-07-2017,Mubarakan,Hindi,Anees Bazmee,Arjun Kapoor,70,6.0,2000,55.0,74.0,19.0,93.0,23.0,33.0,6.0,AVERAGE,,Comedy
28-07-2017,Velaikkaran,Tamil,Mohan Raja,Sivakarthikeyan,60,9.0,1500,1.0,80.0,25.0,105.0,45.0,75.0,7.1,HIT,,Action
28-07-2017,Bus Stop,Marathi,Sameer Joshi,Siddharth Chandekar,3,0.6,300,0.02,5.0,2.0,7.0,4.0,133.0,6.2,HIT,,Drama
28-07-2017,Sipahi,Bhojpuri,Premanshu Singh,Pawan Singh,6,1.1,600,0.02,14.0,7.0,21.0,15.0,250.0,6.4,HIT,,Action
28-07-2017,Raaga,Kannada,P C Shekhar,Mithun Mukundan,4,0.7,250,0.1,6.0,2.0,8.0,4.0,100.0,7.4,HIT,,Romance
04-08-2017,Jab Harry Met Sejal,Hindi,Imtiaz Ali,Shah Rukh Khan,90,15.0,3500,62.0,80.0,72.0,152.0,62.0,69.0,5.2,AVERAGE,,Romance
04-08-2017,LIE,Telugu,Hanu Raghavapudi,Nithiin,45,6.0,1500,0.3,28.0,9.0,37.0,-8.0,-17.0,6.2,FLOP,,Thriller
04-08-2017,Kootathil Oruthan,Tamil,T J Gnanavel,Ashok Selvan,5,0.8,350,0.2,10.0,3.0,13.0,8.0,160.0,7.0,HIT,,Comedy
11-08-2017,Toilet Ek Prem Katha,Hindi,Shree Narayan Singh,Akshay Kumar,35,13.0,3000,134.0,216.0,100.0,316.0,281.0,802.0,7.2,BLOCKBUSTER,,Drama
11-08-2017,Velaiilla Pattadhari 2,Tamil,Soundarya Rajinikanth,Dhanush,35,8.0,1200,1.0,55.0,25.0,80.0,45.0,128.0,5.7,AVERAGE,,Action
11-08-2017,Taramani,Tamil,Ram,Andrea Jeremiah,6,1.2,600,0.3,10.0,3.0,13.0,7.0,116.0,7.7,HIT,,Drama
15-08-2017,Vivegam,Tamil,Siva,Ajith Kumar,130,22.0,3500,2.0,150.0,40.0,190.0,60.0,46.0,6.3,HIT,,Action
18-08-2017,Bareilly Ki Barfi,Hindi,Ashwiny Iyer Tiwari,Ayushmann Khurrana,20,2.5,1200,34.0,45.0,15.0,60.0,40.0,200.0,7.5,HIT,,Comedy
18-08-2017,Mission China,Assamese,Zubeen Garg,Zubeen Garg,8,1.2,450,0.01,10.0,4.0,14.0,6.0,75.0,6.5,AVERAGE,,Action
18-08-2017,Kadhal Kasakuthaiya,Tamil,Dwarakh Raja,Charle,4,0.6,250,0.1,6.0,2.0,8.0,4.0,100.0,6.3,HIT,,Romance
25-08-2017,Arjun Reddy,Telugu,Sandeep Reddy Vanga,Vijay Deverakonda,5,1.5,800,2.0,30.0,21.0,51.0,46.0,920.0,8.1,BLOCKBUSTER,,Romance
25-08-2017,A Gentleman,Hindi,Krishna DK,Sidharth Malhotra,45,4.0,1800,22.0,30.0,8.0,38.0,-7.0,-16.0,6.2,FLOP,,Action
25-08-2017,Dhh,Gujarati,Manish Saini,Kahaan,3,0.5,250,0.02,5.0,2.0,7.0,4.0,133.0,7.3,HIT,,Comedy
25-08-2017,Thondimuthalum Driksakshiyum,Malayalam,Dileesh Pothan,Fahadh Faasil,7,1.5,700,0.1,25.0,10.0,35.0,28.0,400.0,8.3,BLOCKBUSTER,,Crime
01-09-2017,Adam Joan,Malayalam,Jinu Abraham,Prithviraj,13,3.0,1100,0.3,25.0,20.0,45.0,32.0,246.0,5.9,AVERAGE,,Action
01-09-2017,Baadshaho,Hindi,Milan Luthria,Ajay Devgn,80,12.0,2800,78.0,95.0,25.0,120.0,40.0,50.0,5.4,AVERAGE,,Action
01-09-2017,Priyotoma,Assamese,Achyut Kumar,Bhargav Das,2,0.3,150,0.01,3.0,1.0,4.0,2.0,100.0,6.3,HIT,,Romance
08-09-2017,Poster Boys,Hindi,Shreyas Talpade,Sunny Deol,20,2.0,900,15.0,16.0,2.0,18.0,-2.0,-10.0,5.1,FLOP,,Comedy
08-09-2017,Chal Man Jeetva Jaiye,Gujarati,Vipul Mehta,Dhruvin Shah,5,1.0,300,0.03,8.0,6.0,14.0,9.0,180.0,7.3,HIT,,Drama
08-09-2017,Thiruttu Payale 2,Tamil,Susi Ganeshan,Bobby Simha,15,2.5,800,0.3,25.0,8.0,33.0,18.0,120.0,6.8,HIT,,Crime
15-09-2017,Simran,Hindi,Hansal Mehta,Kangana Ranaut,20,2.5,1200,27.0,30.0,5.0,35.0,15.0,75.0,5.2,FLOP,,Crime
15-09-2017,Sala Budha,Odia,Sabyasachi Mohapatra,Atal Bihari Panda,2,0.2,150,0.01,2.5,1.5,4.0,2.0,100.0,8.0,HIT,,Drama
15-09-2017,Lucknow Central,Hindi,Ranjit Tiwari,Farhan Akhtar,30,2.0,1200,10.0,12.0,3.0,15.0,-15.0,-50.0,6.1,DISASTER,,Drama
15-09-2017,Deva,Marathi,Murali Nallappa,Ankush Chaudhari,6,1.1,450,0.04,10.0,4.0,14.0,8.0,133.0,6.2,HIT,,Action
15-09-2017,Byomkesh O Agnibaan,Bengali,Arindam Sil,Jisshu Sengupta,6,1.1,450,0.05,9.0,3.0,12.0,6.0,100.0,7.0,HIT,,Mystery
15-09-2017,Thupparivaalan,Tamil,Mysskin,Vishal,45,8.0,1500,1.0,60.0,20.0,80.0,35.0,77.0,7.5,HIT,,Mystery
21-09-2017,Jai Lava Kusa,Telugu,K.S. Ravindra,N.T. Rama Rao Jr,40,20.0,2200,4.0,90.0,40.0,130.0,90.0,225.0,7.3,HIT,,Action
22-09-2017,Newton,Hindi,Amit Masurkar,Rajkummar Rao,9,1.0,600,22.0,23.0,7.0,30.0,21.0,233.0,7.6,HIT,,Drama
22-09-2017,White Sun,Nepali,Deepak Rauniyar,Dayahang Rai,3,0.3,150,0.01,3.0,1.0,4.0,1.0,33.0,7.4,HIT,,Drama
22-09-2017,Enemy,Nepali,Devendra Khatri,Pradeep Khadka,3,0.3,150,0.01,3.0,1.0,4.0,1.0,33.0,6.4,HIT,,Thriller
22-09-2017,Udaharanam Sujatha,Malayalam,Phantom Praveen,Manju Warrier,7,1.5,600,0.2,15.0,4.0,19.0,12.0,171.0,7.8,HIT,,Drama
22-09-2017,Dayavittu Gamanisi,Kannada,Rohit Padaki,Vasishta Simha,6,1.2,400,0.1,9.0,3.0,12.0,6.0,100.0,7.2,HIT,,Drama
27-09-2017,Spyder,Telugu,A.R. Murugadoss,Mahesh Babu,120,25.0,3500,5.0,100.0,50.0,150.0,30.0,25.0,6.3,FLOP,,Thriller
29-09-2017,Judwaa 2,Hindi,David Dhawan,Varun Dhawan,65,16.0,2800,138.0,187.0,40.0,227.0,162.0,249.0,5.4,HIT,,Comedy
29-09-2017,Bhoomi,Hindi,Omung Kumar,Sanjay Dutt,45,3.0,1500,10.0,13.0,2.0,15.0,-30.0,-66.0,5.3,DISASTER,,Drama
29-09-2017,Karuppan,Tamil,R Panneerselvam,Vijay Sethupathi,10,2.0,800,0.5,20.0,8.0,28.0,18.0,180.0,6.6,HIT,,Action
29-09-2017,Yeti Obhijaan,Bengali,Srijit Mukherji,Dev,18,3.2,800,0.2,28.0,12.0,40.0,22.0,122.0,6.7,HIT,,Adventure
29-09-2017,Nirahua Hindustani 2,Bhojpuri,Satish Jain,Dinesh Lal Yadav,7,1.4,650,0.02,18.0,9.0,27.0,20.0,285.0,6.6,HIT,,Comedy
29-09-2017,Mahanubhavudu,Telugu,Maruthi,Sharwanand,22,4.0,1200,0.3,30.0,10.0,40.0,18.0,81.0,7.4,HIT,,Comedy
29-09-2017,Hara Hara Mahadevaki,Tamil,Santhosh P Jayakumar,Gautham Karthik,12,3.0,800,0.5,18.0,6.0,24.0,12.0,100.0,5.9,AVERAGE,,Comedy
29-09-2017,Mukkabaaz,Hindi,Anurag Kashyap,Vineet Kumar Singh,12,1.8,700,5.0,12.0,6.0,18.0,6.0,50.0,8.0,HIT,,Sports
06-10-2017,Chef,Hindi,Raja Krishna Menon,Saif Ali Khan,30,1.5,800,10.0,12.0,3.0,15.0,-15.0,-50.0,5.7,DISASTER,,Drama
06-10-2017,Faster Fene,Marathi,Aditya Sarpotdar,Amey Wagh,4,0.8,400,0.05,6.0,4.0,10.0,6.0,150.0,7.2,HIT,,Mystery
06-10-2017,Ranchi Diaries,Hindi,Sattwik Mohanty,Soundarya Sharma,6,0.4,300,1.0,1.5,0.5,2.0,-4.0,-66.0,5.1,DISASTER,,Crime
