Released_Date,Movie,Stars_Featuring,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens,Rating
16-04-2021,Thank You Brother,Anasuya Bharadwaj,Ramesh Raparthi,Telugu,9,1,7,2,10,Average,0.6,669,6.4
16-04-2021,Rathnan Prapancha,Dhananjaya,Rohit Padaki,Kannada,18,1,14,4,10,Hit,0.8,384,7.5
23-04-2021,Uppena,Vaisshnav Tej,Buchi Babu Sana,Telugu,100,3,75,25,22,Blockbuster,7.0,2028,7.6
23-04-2021,The Priest,Mammootty,Jofin T Chacko,Malayalam,28,1,22,6,25,Hit,1.9,1775,7.1
30-04-2021,One,Mammootty,Santhosh Viswanath,Malayalam,20,1,16,4,30,Average,1.0,1303,7.2
30-04-2021,Karnan (Telugu Dub),Dhanush,Mari Selvaraj,Telugu,22,1,17,5,15,Hit,1.6,785,8.1
07-05-2021,Republic,Sai Dharam Tej,Deva Katta,Telugu,28,1,22,6,30,Average,2.1,2013,5.9
07-05-2021,Operation Java,Balu Varghese,Tharun Moorthy,Malayalam,18,0,14,4,12,Hit,0.8,606,7.3
07-05-2021,Radhe Shyam Teaser Release,Prabhas,Radhakrishna Kumar,Telugu,12,1,9,3,20,Average,0.8,1917,6.5
14-05-2021,Karnan,Dhanush,Mari Selvaraj,Tamil,70,2,52,18,40,Super Hit,5.0,1782,8.1
14-05-2021,Irul,Fahadh Faasil,Naseef Yusuf Izuddin,Malayalam,12,0,9,3,10,Average,0.5,834,7.5
21-05-2021,Home,Indrans,Rojin Thomas,Malayalam,30,1,22,8,12,Super Hit,0.9,525,8.4
21-05-2021,Kolaambi,Nithya Menen,T K Rajeev Kumar,Malayalam,10,0,8,2,8,Average,0.3,646,6.2
28-05-2021,Paramapadham Vilayattu,Trisha,Tirugnanam,Tamil,15,1,12,3,18,Flop,0.9,579,6.5
28-05-2021,June,Rajisha Vijayan,Ahammed Khabeer,Malayalam,16,0,12,4,10,Hit,0.8,471,7.1
28-05-2021,Vaazhl,Pradeep Anthony,Arun Prabhu Purushothaman,Tamil,12,1,9,3,10,Average,0.3,318,7.8
04-06-2021,Narappa,Venkatesh,Srikanth Addala,Telugu,60,2,45,15,40,Hit,3.3,1951,7.5
04-06-2021,Sunny,Jayaram,Ranjith Sankar,Malayalam,12,0,9,3,10,Average,0.6,376,7.0
11-06-2021,Sarpatta Parambarai,Arya,Pa Ranjith,Tamil,50,2,38,12,40,Super Hit,2.4,1877,8.4
11-06-2021,Jagame Thandhiram,Dhanush,Karthik Subbaraj,Tamil,35,1,26,9,40,Average,1.5,1672,6.6
18-06-2021,Malik,Fahadh Faasil,Mahesh Narayanan,Malayalam,40,1,30,10,25,Hit,2.5,872,7.9
18-06-2021,Mimi,Kriti Sanon,Laxman Utekar,Hindi,40,28,32,8,30,Hit,2.6,1556,7.6
18-06-2021,Ninnila Ninnila (Telugu Dub),Ashok Selvan,Anand Shankar,Telugu,10,1,8,2,10,Average,0.6,735,6.8
25-06-2021,Tuck Jagadish,Nani,Shiva Nirvana,Telugu,50,2,38,12,35,Average,2.6,1522,6.2
25-06-2021,Cold Case,Prithviraj Sukumaran,Tanu Balak,Malayalam,18,0,14,4,20,Average,0.9,1913,7.0
25-06-2021,Bhoot Police,Saif Ali Khan,Pavan Kirpalani,Hindi,35,20,28,7,60,Average,1.9,3097,5.5
25-06-2021,Cold Case (Tamil Dub),Prithviraj Sukumaran,Tanu Balak,Tamil,12,1,9,3,12,Average,0.8,315,7.0
02-07-2021,Kuruthi,Prithviraj Sukumaran,Manu Warrier,Malayalam,22,1,17,5,20,Average,1.5,1970,7.7
02-07-2021,Haseen Dillruba,Taapsee Pannu,Vinil Mathew,Hindi,35,25,28,7,30,Average,1.6,1372,6.7
02-07-2021,Keshu Ee Veedinte Nadhan,Dileep,Nadirshah,Malayalam,18,0,14,4,15,Average,0.9,393,7.2
09-07-2021,Toofaan,Farhan Akhtar,Rakeysh Omprakash Mehra,Hindi,35,25,28,7,85,Flop,3.0,3373,7.1
09-07-2021,The Girl on the Train,Parineeti Chopra,Ribhu Dasgupta,Hindi,20,14,16,4,30,Average,1.0,1724,4.9
09-07-2021,Malik (Tamil Dub),Fahadh Faasil,Mahesh Narayanan,Tamil,20,1,15,5,15,Average,1.4,872,7.9
16-07-2021,Chathur Mukham,Manju Warrier,Ranjeet Kamala Sankar,Malayalam,15,0,12,3,10,Average,0.7,632,6.8
16-07-2021,Dhamaka,Kartik Aaryan,Ram Madhvani,Hindi,45,30,35,10,40,Hit,2.2,1387,7.0
23-07-2021,Bell Bottom,Akshay Kumar,Ranjit Tiwari,Hindi,50,35,40,10,90,Flop,3.5,1500,6.3
23-07-2021,Thittam Irandu,Aishwarya Rajesh,Vignesh Karthick,Tamil,12,1,9,3,8,Average,0.7,513,6.9
23-07-2021,Pagglait,Sanya Malhotra,Umesh Bist,Hindi,18,12,14,4,20,Average,0.8,820,7.2
23-07-2021,Bell Bottom (Kannada),Rishab Shetty,Jayathirtha,Kannada,30,1,23,7,15,Hit,3.5,1500,6.3
30-07-2021,Netrikann,Nayanthara,Milind Rau,Tamil,20,1,15,5,25,Average,0.8,864,7.2
30-07-2021,Rashmi Rocket,Taapsee Pannu,Akarsh Khurana,Hindi,22,15,17,5,25,Average,1.5,1997,7.6
30-07-2021,777 Charlie Teaser,Rakshit Shetty,Kiranraj K,Kannada,10,0,8,2,20,Average,0.4,1463,6.5
06-08-2021,Navarasa,Suriya,Mani Ratnam,Tamil,30,1,22,8,40,Average,1.8,1488,7.4
06-08-2021,Sanak,Vidyut Jammwal,Kanishk Varma,Hindi,30,20,24,6,35,Average,1.7,1042,5.9
13-08-2021,Shershaah,Sidharth Malhotra,Vishnuvardhan,Hindi,70,50,55,15,70,Hit,2.0,1200,8.4
13-08-2021,State of Siege Temple Attack,Akshaye Khanna,Ken Ghosh,Hindi,20,14,16,4,30,Average,1.3,1357,5.8
13-08-2021,Bhajarangi 2,Shiva Rajkumar,A Harsha,Kannada,45,1,35,10,25,Hit,1.9,1689,6.1
20-08-2021,Helmet,Aparshakti Khurana,Satramm Ramani,Hindi,12,9,10,2,15,Average,0.8,524,6.5
20-08-2021,Hum Do Hamare Do,Rajkummar Rao,Abhishek Jain,Hindi,28,18,22,6,40,Average,2.1,1504,7.1
20-08-2021,Ardab Mutiyaran (Re-run),Sonam Bajwa,Manav Shah,Punjabi,12,0,9,3,5,Average,0.4,257,7.3
27-08-2021,Chehre,Amitabh Bachchan,Rumi Jaffery,Hindi,30,20,24,6,40,Flop,2.0,898,4.8
27-08-2021,Meenakshi Sundareshwar,Sanya Malhotra,Vivek Soni,Hindi,24,16,19,5,30,Average,1.5,837,7.3
27-08-2021,Fuffad Ji,Binnu Dhillon,Pankaj Batra,Punjabi,18,0,14,4,10,Hit,0.9,864,6.5
03-09-2021,MGR Magan,Sasikumar,Ponram,Tamil,15,1,12,3,20,Average,1.0,1343,5.9
03-09-2021,Dybbuk,Emraan Hashmi,Jay K,Hindi,18,12,14,4,30,Average,1.1,1441,4.5
10-09-2021,Love Story,Naga Chaitanya,Sekhar Kammula,Telugu,60,2,46,14,30,Hit,3.3,2118,7.3
10-09-2021,Seetimaarr,Gopichand,Sampath Nandi,Telugu,35,1,27,8,25,Hit,2.7,2145,5.9
10-09-2021,Tadap,Ahan Shetty,Milan Luthria,Hindi,35,24,28,7,35,Average,1.5,1074,6.3
10-09-2021,Thalaivii,Kangana Ranaut,A L Vijay,Tamil,35,15,27,8,80,Flop,1.8,2251,7.4
17-09-2021,Dear Megha,Megha Akash,Sushanth Reddy,Telugu,12,1,9,3,10,Average,0.6,356,6.2
17-09-2021,Sardar Udham,Vicky Kaushal,Shoojit Sircar,Hindi,60,45,50,10,50,Hit,4.0,2177,8.3
17-09-2021,Annabelle Sethupathi,Vijay Sethupathi,Deepak Sundarrajan,Tamil,18,1,14,4,20,Average,0.7,1982,5.1
24-09-2021,Kondapolam,Vaishnav Tej,Krish Jagarlamudi,Telugu,15,1,12,3,25,Flop,0.8,1940,8.1
24-09-2021,Kanakam Kaamini Kalaham,Nivin Pauly,Ratheesh Balakrishnan,Malayalam,15,0,12,3,12,Average,0.8,370,5.8
01-10-2021,Doctor,Sivakarthikeyan,Nelson Dilipkumar,Tamil,100,3,75,25,40,Blockbuster,7.5,1680,7.5
01-10-2021,Varudu Kaavalenu,Naga Shaurya,Lakshmi Sowjanya,Telugu,22,1,17,5,15,Average,1.6,741,6.8
01-10-2021,Doctor (Telugu Dub),Sivakarthikeyan,Nelson Dilipkumar,Telugu,25,2,19,6,15,Hit,1.2,469,7.5
08-10-2021,Shiddat,Sunny Kaushal,Kunal Deshmukh,Hindi,28,20,22,6,35,Average,2.0,1850,6.8
08-10-2021,Aaradugula Bullet,Gopichand,B Gopal,Telugu,15,1,12,3,20,Flop,0.8,2186,5.2
15-10-2021,Most Eligible Bachelor,Akhil Akkineni,Bhaskar,Telugu,50,2,38,12,35,Hit,3.6,1320,7.3
15-10-2021,Maha Samudram,Sharwanand,Ajay Bhupathi,Telugu,28,1,21,7,35,Average,2.2,1277,6.1
22-10-2021,Enemy,Vishal,Anand Shankar,Tamil,40,1,30,10,50,Average,2.9,4146,6.2
22-10-2021,Varudu Kaavalenu (Tamil Dub),Naga Shaurya,Lakshmi Sowjanya,Tamil,10,1,8,2,8,Average,0.6,750,6.8
29-10-2021,Pelli SandaD,Roshan Srikanth,Gowri Ronanki,Telugu,18,1,14,4,20,Average,1.4,944,7.2
29-10-2021,Pelli SandaD (Hindi Dub),Roshan Srikanth,Gowri Ronanki,Hindi,12,8,9,3,10,Average,0.7,603,7.2
04-11-2021,Annaatthe,Rajinikanth,Siva,Tamil,240,10,180,60,180,Average,31.8,4960,5.5
05-11-2021,Madhagaja,Sriimurali,Mahesh Kumar,Kannada,25,1,20,5,30,Average,1.0,1344,5.3
05-11-2021,Enemy (Telugu Dub),Vishal,Anand Shankar,Telugu,18,1,14,4,15,Average,0.8,843,6.2
12-11-2021,Sooryavanshi,Akshay Kumar,Rohit Shetty,Hindi,294,195,233,61,160,Blockbuster,26.0,4000,6.2
12-11-2021,Badava Rascal,Dhananjaya,Shankar Guru,Kannada,20,1,16,4,10,Hit,1.3,491,6.8
12-11-2021,Badava Rascal (Telugu Dub),Dhananjaya,Shankar Guru,Telugu,10,1,8,2,8,Average,0.5,870,6.8
19-11-2021,Bunty Aur Babli 2,Saif Ali Khan,Varun Sharma,Hindi,35,24,28,7,45,Flop,2.0,1684,5.4
19-11-2021,Garuda Gamana Vrishabha Vahana,Raj B Shetty,Raj B Shetty,Kannada,30,1,24,6,15,Super Hit,1.6,475,8.4
19-11-2021,Rider (Telugu Dub),Nikhil Kumar,Vijay Kumar Konda,Telugu,12,1,9,3,10,Average,0.7,703,6.5
26-11-2021,Antim,Salman Khan,Mahesh Manjrekar,Hindi,60,40,48,12,50,Average,5.4,3978,5.9
26-11-2021,Love Mocktail 2,Darling Krishna,Darling Krishna,Kannada,18,1,14,4,12,Hit,0.8,354,7.2
26-11-2021,Love Mocktail 2 (Telugu Dub),Darling Krishna,Darling Krishna,Telugu,10,1,8,2,8,Average,0.5,334,7.2
03-12-2021,Chandigarh Kare Aashiqui,Ayushmann Khurrana,Abhishek Kapoor,Hindi,38,27,31,7,30,Average,2.9,1418,7.2
03-12-2021,Salaga,Duniya Vijay,Duniya Vijay,Kannada,35,1,28,7,20,Hit,1.6,1291,7.1
03-12-2021,Salaga (Tamil Dub),Duniya Vijay,Duniya Vijay,Tamil,15,1,12,3,10,Average,0.8,385,7.1
10-12-2021,Pushpa The Rise,Allu Arjun,Sukumar,Telugu,350,106,265,85,200,Blockbuster,30.0,3500,7.6
10-12-2021,Kotigobba 3,Sudeep,Shiva Karthik,Kannada,50,2,38,12,45,Average,2.2,1665,5.8
10-12-2021,Kotigobba 3 (Hindi Dub),Sudeep,Shiva Karthik,Hindi,18,10,14,4,12,Average,1.0,350,5.8
17-12-2021,Rider,Nikhil Kumar,Vijay Kumar Konda,Kannada,20,1,15,5,25,Average,1.5,901,6.5
17-12-2021,Rider (Hindi Dub),Nikhil Kumar,Vijay Kumar Konda,Hindi,12,8,9,3,10,Average,0.3,723,6.5
24-12-2021,83,Ranveer Singh,Kabir Khan,Hindi,193,109,130,63,270,Flop,26.8,7296,8.1
24-12-2021,Akhanda,Balakrishna,Boyapati Srinu,Telugu,150,3,115,35,70,Blockbuster,10.3,2935,6.8
24-12-2021,Shyam Singha Roy,Nani,Rahul Sankrityan,Telugu,70,2,55,15,40,Hit,5.5,1937,8.1
24-12-2021,Minnal Murali,Tovino Thomas,Basil Joseph,Malayalam,50,1,38,12,20,Super Hit,3.5,2180,7.7
24-12-2021,Drishyam 2,Mohanlal,Jeethu Joseph,Malayalam,80,1,60,20,50,Hit,4.3,2940,8.3
24-12-2021,Garuda,Siddharth Mahesh,Dhanakumar,Kannada,18,1,14,4,20,Average,1.1,1888,5.9
24-12-2021,Garuda (Hindi Dub),Siddharth Mahesh,Dhanakumar,Hindi,10,7,8,2,10,Average,0.6,554,5.9
