Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,Genre
23-01-2019,Thackeray,Hindi,Abhijit Panse,Nawazuddin Siddiqui,30,6.0,1400,32.0,45.0,10.0,55,25,83,7.0,HIT,Biography
25-01-2019,Manikarnika The Queen of Jhansi,Hindi,Krish Jagarlamudi,Kangana Ranaut,125,8.5,3000,92.0,125.0,28.0,153,28,22,6.4,HIT,Historical
25-01-2019,Mikhael,Malayalam,Haneef Adeni,Nivin Pauly,32,4.0,1200,0.05,25.0,10.0,35,3,9,6.2,AVERAGE,Action
25-01-2019,Rangasthalam Hindi Dub,Hindi Dub,Sukumar,Ram Charan,60,2.5,700,6.0,8.0,5.0,13,-47,-78,8.3,FLOP,Action
25-01-2019,Manikarnika,Hindi,Krish Jagarlamudi,Kangana Ranaut,125,8.0,3000,92.0,125.0,28.0,153,28,22,6.4,HIT,Historical
25-01-2019,Mr Majnu,Telugu,Venu Sriram,Akhil Akkineni,25,4.0,1300,0.1,28.0,10.0,38,13,52,6.0,AVERAGE,Romance
01-02-2019,Ek Ladki Ko Dekha Toh Aisa Laga,Hindi,Shelly Chopra Dhar,Sonam Kapoor,35,3.5,1500,20.0,25.0,5.0,30,-5,-14,6.1,FLOP,Romance
01-02-2019,Vantha Rajavathaan Varuven,Tamil,Sundar C,Silambarasan,60,7.0,1800,0.2,45.0,10.0,55,-5,-8,4.5,FLOP,Action
01-02-2019,Thadam,Tamil,Magizh Thirumeni,Arun Vijay,20,3.5,900,0.05,45.0,15.0,60,40,200,8.2,BLOCKBUSTER,Thriller
01-02-2019,Devadas Brothers,Telugu,Janardhan Puttaparthi,Ajay Prasad,5,0.6,300,0.02,7.0,2.0,9,4,80,5.5,AVERAGE,Drama
01-02-2019,Evaru,Telugu,Venkat Ramji,Adivi Sesh,12,2.5,800,0.05,25.0,10.0,35,23,191,8.1,HIT,Thriller
08-02-2019,Yatra,Telugu,Mahi V Raghav,Mammootty,30,2.5,1000,0.2,30.0,8.0,38,8,26,7.2,HIT,Biography
08-02-2019,Dev,Tamil,Rajath Ravishankar,Karthi,50,6.0,1500,0.1,35.0,10.0,45,-5,-10,4.8,FLOP,Action
08-02-2019,Lovers Day,Telugu,Omar Lulu,Noorin Shereef,6,1.5,600,0.05,15.0,4.0,19,13,216,5.8,HIT,Romance
08-02-2019,Amavas,Hindi,Bhushan Patel,Sachiin Joshi,15,1.2,900,6.0,8.0,2.0,10,-5,-33,3.8,DISASTER,Horror
08-02-2019,Total Dhamaal,Hindi,Indra Kumar,Ajay Devgn,90,16.0,3200,154.0,220.0,40.0,260,170,189,5.0,HIT,Comedy
08-02-2019,Devadas Hindi Dub,Hindi Dub,Sriram Aditya,Nagarjuna,40,1.8,500,3.0,5.0,3.0,8,-32,-80,7.0,DISASTER,Drama
08-02-2019,Allu Ramendran,Malayalam,Bilal Azeez,Kunchacko Boban,10,1.5,700,0.05,15.0,6.0,21,11,110,6.7,HIT,Comedy
14-02-2019,Gully Boy,Hindi,Zoya Akhtar,Ranveer Singh,60,19.4,3350,134.0,170.0,65.0,235,175,291,8.0,BLOCKBUSTER,Drama
15-02-2019,Guddiyan Patole,Punjabi,Vijay Kumar Arora,Sonam Bajwa,8,2.0,500,0.02,18.0,10.0,28,20,250,6.9,HIT,Comedy
15-02-2019,Peranbu,Tamil,Ram,Mammootty,20,1.5,700,0.05,18.0,6.0,24,4,20,8.7,HIT,Drama
15-02-2019,Lovers Day Hindi Dub,Hindi Dub,Omar Lulu,Noorin Shereef,6,1.5,600,2.0,4.0,2.0,6,0,0,5.8,AVERAGE,Romance
15-02-2019,Feb-22,Tamil,Karthik Naren,Rahman,10,1.1,400,0.02,12.0,4.0,16,6,60,6.4,HIT,Thriller
22-02-2019,Luka Chuppi,Hindi,Laxman Utekar,Kartik Aaryan,25,8.0,2300,94.0,128.0,20.0,148,123,492,6.3,BLOCKBUSTER,Comedy
22-02-2019,Luca,Malayalam,Arun Bose,Tovino Thomas,10,2.0,800,0.05,18.0,8.0,26,16,160,7.6,HIT,Drama
01-03-2019,Super Deluxe,Tamil,Thiagarajan Kumararaja,Vijay Sethupathi,30,3.0,900,0.2,22.0,10.0,32,2,6,8.4,HIT,Thriller
01-03-2019,Sonchiriya,Hindi,Abhishek Chaubey,Sushant Singh Rajput,30,1.2,800,6.0,8.0,2.0,10,-20,-66,7.9,DISASTER,Action
08-03-2019,Wrong Side Raju 2,Gujarati,Mikhil Musale,Pratik Gandhi,6,1.2,350,0.01,12.0,6.0,18,12,200,7.3,HIT,Comedy
08-03-2019,Badla,Hindi,Sujoy Ghosh,Amitabh Bachchan,24,5.0,1700,88.0,115.0,22.0,137,113,470,7.8,BLOCKBUSTER,Thriller
08-03-2019,Airaa,Tamil,Sarjun KM,Nayanthara,18,2.5,1000,0.1,22.0,8.0,30,12,66,5.3,AVERAGE,Horror
08-03-2019,Captain Marvel Tamil Dub,Tamil,Anna Boden,Brie Larson,150,7.0,1500,0.1,20.0,12.0,32,-118,-78,6.8,FLOP,Action
08-03-2019,Captain Marvel Hindi Dub,Hindi,Anna Boden,Brie Larson,150,6.0,1400,0.2,18.0,10.0,28,-122,-81,7.0,FLOP,Action
08-03-2019,Captain Marvel,Hindi Dub,Anna Boden,Brie Larson,150,5.0,1200,10.0,15.0,20.0,35,-115,-76,7.1,FLOP,Action
08-03-2019,Badnaam Gali,Hindi,Ashwin Shetty,Patralekha,10,0.6,400,2.0,3.0,1.0,4,-6,-60,5.2,DISASTER,Drama
08-03-2019,Hamid,Hindi,Aijaz Khan,Talha Arshad Reshi,5,0.3,200,1.5,2.0,1.0,3,-2,-40,7.8,DISASTER,Drama
08-03-2019,100,Tamil,Sam Anton,Atharvaa,18,2.5,900,0.05,28.0,9.0,37,19,105,6.8,HIT,Action
08-03-2019,Nota,Tamil,Anand Shankar,Vijay Deverakonda,40,3.2,1200,0.05,20.0,6.0,26,-14,-35,6.0,FLOP,Drama
15-03-2019,Kesari,Hindi,Anurag Singh,Akshay Kumar,80,21.0,3600,154.0,207.0,50.0,257,177,221,7.4,BLOCKBUSTER,Historical
15-03-2019,Watchman,Tamil,A L Vijay,G V Prakash Kumar,10,1.3,500,0.02,14.0,5.0,19,9,90,6.3,HIT,Thriller
15-03-2019,Kavacha,Kannada,GVR Vasu,Shiva Rajkumar,20,3.0,900,0.05,30.0,10.0,40,20,100,6.5,HIT,Action
15-03-2019,Ashi Hi Aashiqui,Marathi,Sachin Pilgaonkar,Abhinay Berde,5,0.8,300,0.05,7.0,3.0,10,5,100,7.1,HIT,Romance
21-03-2019,Oru Yamandan Premakadha,Malayalam,B C Noufal,Dulquer Salmaan,18,3.5,1100,0.1,35.0,12.0,47,29,161,6.0,HIT,Comedy
22-03-2019,Madhura Raja,Malayalam,Vysakh,Mammootty,27,4.5,1200,0.1,55.0,18.0,73,46,170,6.0,HIT,Action
22-03-2019,Kesari Chapter,Tamil,Durai Senthilkumar,Dhanush,40,6.0,1500,0.1,65.0,20.0,85,45,112,6.9,HIT,Historical
22-03-2019,Charlie Chaplin 2,Tamil,Shakthi Chidambaram,Prabhu Deva,20,2.8,900,0.02,26.0,8.0,34,14,70,5.5,AVERAGE,Comedy
29-03-2019,Notebook,Hindi,Nitin Kakkar,Zaheer Iqbal,15,1.2,900,9.0,11.0,2.0,13,-2,-13,6.5,FLOP,Romance
29-03-2019,Junglee,Hindi,Chuck Russell,Vidyut Jammwal,45,3.5,1800,24.0,30.0,5.0,35,-10,-22,5.5,FLOP,Action
29-03-2019,Lucifer,Malayalam,Prithviraj Sukumaran,Mohanlal,30,6.0,1500,0.05,90.0,40.0,130,100,333,7.5,BLOCKBUSTER,Action
29-03-2019,Madura Raja,Malayalam,Vysakh,Mammootty,30,5.0,1200,0.05,65.0,20.0,85,55,183,6.3,HIT,Action
05-04-2019,Majili,Telugu,Shiva Nirvana,Naga Chaitanya,25,7.0,1600,0.4,40.0,12.0,52,27,108,7.3,HIT,Romance
05-04-2019,Natpe Thunai,Tamil,D Parthiban,Hiphop Tamizha,20,3.0,900,0.05,30.0,10.0,40,20,100,6.5,HIT,Action
05-04-2019,The Tashkent Files,Hindi,Vivek Agnihotri,Naseeruddin Shah,20,1.1,600,15.0,18.0,3.0,21,1,5,8.1,AVERAGE,Thriller
05-04-2019,Jersey,Telugu,Gowtam Tinnanuri,Nani,25,6.0,1700,0.2,50.0,20.0,70,45,180,8.5,BLOCKBUSTER,Sports
05-04-2019,Uyare,Malayalam,Manu Ashokan,Parvathy Thiruvothu,6,1.2,600,0.05,15.0,8.0,23,17,283,8.3,SUPER HIT,Drama
11-04-2019,Yajamana,Kannada,Pon Kumaran,Darshan,40,7.0,1600,0.1,65.0,15.0,80,40,100,6.6,HIT,Action
12-04-2019,Bibaho Obhijaan,Bengali,Birsa Dasgupta,Ankush Hazra,8,1.5,400,0.02,20.0,8.0,28,20,250,6.4,HIT,Comedy
12-04-2019,Kolaigaran,Tamil,Andrew Louis,Vijay Antony,15,2.5,800,0.1,18.0,7.0,25,10,66,7.3,HIT,Crime
12-04-2019,Kalank,Hindi,Abhishek Varman,Varun Dhawan,150,21.0,4000,80.0,112.0,25.0,137,-13,-8,3.6,AVERAGE,Historical
12-04-2019,April May 99,Hindi,Rajiv S Ruia,Anita Hassanandani,6,0.4,300,1.2,1.5,0.5,2,-4,-66,4.5,DISASTER,Drama
12-04-2019,Devarattam,Tamil,M Muthaiah,Gautham Karthik,18,2.3,850,0.02,22.0,7.0,29,11,61,6.2,HIT,Action
19-04-2019,Kanchana Returns,Tamil,Raghava Lawrence,Raghava Lawrence,45,9.0,2000,0.1,120.0,30.0,150,105,233,4.8,SUPER HIT,Horror
19-04-2019,Blank,Hindi,Behzad Khambata,Karan Kapadia,18,0.9,700,5.0,6.0,2.0,8,-10,-55,6.1,DISASTER,Thriller
19-04-2019,Padde Huli,Kannada,Guru Deshpande,Shreyas Manju,15,2.0,700,0.05,18.0,7.0,25,10,67,6.6,HIT,Comedy
26-04-2019,Avengers Endgame Hindi Dub,Hindi,Anthony Russo,Robert Downey Jr,350,20.0,2500,0.3,150.0,200.0,350,0,0,8.4,BLOCKBUSTER,Action
03-05-2019,Student of the Year 2,Hindi,Punit Malhotra,Tiger Shroff,70,12.0,3000,70.0,98.0,22.0,120,50,71,3.0,AVERAGE,Romance
03-05-2019,Devi 2,Tamil,A L Vijay,Prabhu Deva,35,4.0,1300,0.05,45.0,12.0,57,22,62,5.7,AVERAGE,Horror
03-05-2019,PM Narendra Modi,Hindi,Omung Kumar,Vivek Oberoi,40,1.5,1200,20.0,23.0,5.0,28,-12,-30,4.2,FLOP,Biography
03-05-2019,Lisaa,Tamil,Raju Viswanath,Anjali,12,1.1,450,0.02,10.0,4.0,14,2,16,4.3,FLOP,Horror
10-05-2019,Setters,Hindi,Ashwini Chaudhary,Aftab Shivdasani,18,0.8,700,2.0,3.0,1.0,4,-14,-77,5.1,DISASTER,Thriller
10-05-2019,India vs England,Malayalam,Shyamaprasad,Tovino Thomas,7,1.2,450,0.02,10.0,4.0,14,7,100,6.6,HIT,Sports
10-05-2019,Maharshi,Telugu,Vamsi Paidipally,Mahesh Babu,100,25.0,2500,0.05,150.0,60.0,210,110,110,7.1,HIT,Drama
17-05-2019,De De Pyaar De,Hindi,Akiv Ali,Ajay Devgn,50,10.0,3100,103.0,143.0,35.0,178,128,256,6.6,HIT,Comedy
17-05-2019,Aadai,Tamil,Rathna Kumar,Amala Paul,12,1.5,800,0.1,12.0,6.0,18,6,50,6.7,HIT,Thriller
17-05-2019,ABCD American Born Confused Desi,Malayalam,Martin Prakkat,Dulquer Salmaan,15,3.0,900,0.05,35.0,10.0,45,30,200,6.6,HIT,Comedy
24-05-2019,India's Most Wanted,Hindi,Raj Kumar Gupta,Arjun Kapoor,38,2.0,1200,12.0,15.0,4.0,19,-19,-50,4.6,DISASTER,Thriller
24-05-2019,Mr Local,Tamil,M Rajesh,Sivakarthikeyan,50,5.0,1600,0.1,55.0,15.0,70,20,40,5.4,AVERAGE,Comedy
24-05-2019,Bell Bottom,Kannada,Jayatheertha,Rishab Shetty,5,1.1,500,0.05,16.0,6.0,22,17,340,8.0,SUPER HIT,Action
24-05-2019,Saade Aale,Punjabi,Jatinder Mauhar,Guggu Gill,6,1.1,350,0.05,9.0,4.0,13,7,117,7.2,HIT,Comedy
30-05-2019,Monster,Tamil,Nelson Venkatesan,SJ Suryah,15,2.0,900,0.1,18.0,6.0,24,9,60,7.2,HIT,Horror
31-05-2019,NGK,Tamil,Selvaraghavan,Suriya,80,11.0,2200,0.5,75.0,20.0,95,15,18,6.0,AVERAGE,Action
31-05-2019,Montu Ni Bittu,Gujarati,Vijaygiri Bava,Maulik Nayak,5,0.9,300,0.01,10.0,5.0,15,10,200,7.2,HIT,Drama
31-05-2019,Bharat,Hindi,Ali Abbas Zafar,Salman Khan,200,42.0,4700,211.0,320.0,120.0,440,240,120,6.0,HIT,Drama
07-06-2019,Avane Srimannarayana,Kannada,Sachin Ravi,Rakshit Shetty,40,4.0,1200,0.1,45.0,20.0,65,25,62,8.0,HIT,Action
07-06-2019,June,Malayalam,Ahammed Khabeer,Rajisha Vijayan,6,1.0,500,0.03,12.0,6.0,18,12,200,7.7,HIT,Drama
07-06-2019,Khamoshi,Hindi,Chakri Toleti,Tamannaah Bhatia,20,0.8,500,3.0,4.0,1.0,5,-15,-75,4.5,DISASTER,Drama
07-06-2019,Rusthum,Kannada,Ravi Varma,Shiva Rajkumar,18,3.0,900,0.05,25.0,8.0,33,15,83,5.9,AVERAGE,Action
07-06-2019,Game Over,Tamil,Ashwin Saravanan,Taapsee Pannu,15,2.0,700,0.05,20.0,8.0,28,13,86,7.1,HIT,Thriller
07-06-2019,Bharat Ane Nenu Gujarati Dub,Gujarati Dub,Koratala Siva,Mahesh Babu,70,1.5,300,3.0,5.0,2.0,7,-63,-90,7.5,FLOP,Drama
14-06-2019,Unda,Malayalam,Khalid Rahman,Mammootty,10,1.8,800,0.1,20.0,8.0,28,18,180,7.9,HIT,Drama
14-06-2019,Ayogya,Tamil,Venkata Mohan,Vishal,35,5.0,1500,0.1,60.0,15.0,75,40,114,7.0,HIT,Action
14-06-2019,Kalankita Nayak,Odia,Basant Sahoo,Sabyasachi Mishra,6,1.2,400,0.01,12.0,6.0,18,12,200,6.7,HIT,Action
14-06-2019,Game Over Hindi Dub,Hindi,Ashwin Saravanan,Taapsee Pannu,15,2.0,800,12.0,14.0,4.0,18,3,20,7.1,HIT,Thriller
14-06-2019,Chal Jeevi Laiye,Gujarati,Vipul Mehta,Siddharth Randeria,5,1.1,300,0.01,20.0,10.0,30,25,500,8.6,BLOCKBUSTER,Drama
14-06-2019,Sindhubaadh,Tamil,S U Arun Kumar,Vijay Sethupathi,25,3.2,1100,0.05,28.0,12.0,40,15,60,6.5,AVERAGE,Action
14-06-2019,Article 15,Hindi,Anubhav Sinha,Ayushmann Khurrana,35,5.0,2000,63.0,90.0,25.0,115,80,228,8.1,SUPER HIT,Drama
21-06-2019,Kabir Singh,Hindi,Sandeep Reddy Vanga,Shahid Kapoor,60,20.0,3200,278.0,379.0,100.0,479,419,698,7.1,ALL TIME BLOCKBUSTER,Romance
21-06-2019,Judgement,Marathi,Sameer Vidwans,Amey Wagh,4,0.8,250,0.01,10.0,4.0,14,10,250,7.1,HIT,Drama
21-06-2019,Gat-Mat,Marathi,Nishant Bhuse,Akash Thosar,4,0.6,300,0.01,7.0,3.0,10,6,150,6.8,HIT,Comedy
21-06-2019,Arjun Patiala,Hindi,Rohit Jugraj,Diljit Dosanjh,30,1.5,1000,7.0,9.0,2.0,11,-19,-63,4.5,DISASTER,Comedy
21-06-2019,Seven,Tamil,Ramesh Varma,Havish,15,1.5,600,0.02,12.0,4.0,16,1,6,5.1,AVERAGE,Thriller
21-06-2019,Dorasaani,Telugu,KVR Mahendra,Anand Deverakonda,6,0.8,400,0.05,8.0,3.0,11,5,83,6.7,AVERAGE,Romance
28-06-2019,Oh Baby,Telugu,Nandini Reddy,Samantha Ruth Prabhu,20,3.5,1500,0.5,45.0,20.0,65,45,225,7.3,SUPER HIT,Comedy
28-06-2019,Brochevarevarura,Telugu,Vivek Athreya,Sree Vishnu,10,2.5,800,0.1,20.0,8.0,28,18,180,8.0,BLOCKBUSTER,Comedy
02-07-2019,Agent Sai Srinivasa Athreya,Telugu,Swaroop RSJ,Naveen Polishetty,5,1.5,600,0.1,15.0,8.0,23,18,360,8.4,BLOCKBUSTER,Comedy
05-07-2019,Gorilla,Tamil,Don Sandy,Jiiva,20,2.5,900,0.1,20.0,8.0,28,8,40,5.9,AVERAGE,Action
05-07-2019,Article 370,Hindi,Aditya Suhas Jambhale,Yami Gautam,35,3.0,1500,40.0,55.0,10.0,65,30,85,7.4,HIT,Drama
05-07-2019,Super 30,Hindi,Vikas Bahl,Hrithik Roshan,60,12.0,3200,147.0,180.0,30.0,210,150,250,7.9,BLOCKBUSTER,Biography
05-07-2019,Chaal Jeevi Laiye,Gujarati,Vipul Mehta,Siddharth Randeria,6,1.5,350,0.03,20.0,12.0,32,26,433,8.6,BLOCKBUSTER,Drama
12-07-2019,Ittymaani Made in China,Malayalam,Jibi Joju,Mohanlal,20,4.0,1200,0.05,35.0,12.0,47,27,135,5.5,AVERAGE,Comedy
12-07-2019,A1 Accused No 1,Tamil,Johnson K,Jai,12,2.1,700,0.02,18.0,8.0,26,14,116,6.8,HIT,Comedy
19-07-2019,Shadaa,Punjabi,Jagdeep Sidhu,Diljit Dosanjh,18,4.5,900,0.03,50.0,40.0,90,72,400,7.2,BLOCKBUSTER,Comedy
19-07-2019,Sweater,Bengali,Shiladitya Moulik,Ishaa Saha,4,0.6,250,0.01,6.0,2.0,8,4,100,7.3,HIT,Drama
19-07-2019,Ismart Shankar,Telugu,Puri Jagannadh,Ram Pothineni,35,6.0,1500,0.2,70.0,25.0,95,60,171,6.9,SUPER HIT,Action
19-07-2019,Ambili,Malayalam,Johnpaul George,Soubin Shahir,8,1.3,500,0.02,12.0,5.0,17,9,112,7.4,HIT,Comedy
26-07-2019,Judgementall Hai Kya,Hindi,Prakash Kovelamudi,Kangana Ranaut,35,4.5,1600,33.0,45.0,7.0,52,17,48,6.0,AVERAGE,Thriller
26-07-2019,Dear Comrade Tamil Dub,Tamil,Bharat Kamma,Vijay Deverakonda,34,3.5,1000,0.05,25.0,10.0,35,1,3,7.2,AVERAGE,Romance
26-07-2019,Dear Comrade,Telugu,Bharat Kamma,Vijay Deverakonda,34,8.0,2000,0.05,60.0,25.0,85,51,150,7.4,HIT,Romance
02-08-2019,Khandaani Shafakhana,Hindi,Shilpi Dasgupta,Sonakshi Sinha,26,1.5,1100,9.0,11.0,3.0,14,-12,-46,4.1,DISASTER,Comedy
02-08-2019,Nerkonda Paarvai,Tamil,H Vinoth,Ajith Kumar,70,15.0,2600,0.2,140.0,35.0,175,105,150,8.0,BLOCKBUSTER,Thriller
02-08-2019,Rakshasudu,Telugu,Ramesh Varma,Bellamkonda Srinivas,30,4.5,1400,0.1,38.0,15.0,53,23,76,7.8,HIT,Thriller
02-08-2019,Comali,Tamil,Pradeep Ranganathan,Jayam Ravi,50,8.0,1800,0.05,85.0,20.0,105,55,110,7.2,SUPER HIT,Comedy
02-08-2019,Rajlokhi O Srikanto,Bengali,Pradipta Bhattacharyya,Ritwick Chakraborty,4,0.7,250,0.02,6.0,3.0,9,5,125,7.3,HIT,Romance
09-08-2019,Ratnamanjari,Kannada,Prasiddh,Basavaraj Kumar,7,0.9,350,0.01,10.0,3.0,13,6,86,6.3,AVERAGE,Drama
15-08-2019,Mission Mangal,Hindi,Jagan Shakti,Akshay Kumar,32,29.0,3100,200.0,238.0,50.0,288,256,800,6.5,BLOCKBUSTER,Biography
15-08-2019,Batla House,Hindi,Nikkhil Advani,John Abraham,45,14.0,2750,87.0,115.0,20.0,135,90,200,7.2,HIT,Action
15-08-2019,Gotro,Bengali,Nandita Roy,Prosenjit Chatterjee,6,1.0,300,0.02,12.0,5.0,17,11,183,7.5,HIT,Drama
16-08-2019,Saaho Hindi Dub,Hindi,Sujeeth,Prabhas,350,24.0,4200,150.0,210.0,120.0,330,-20,-5,5.2,AVERAGE,Action
16-08-2019,Magamuni,Tamil,Santha Kumar,Arya,20,2.5,900,0.02,32.0,10.0,42,22,110,8.0,HIT,Drama
23-08-2019,Saaho,Hindi Dub,Sujeeth,Prabhas,350,24.0,4200,150.0,210.0,120.0,330,-20,-5,5.2,AVERAGE,Action
30-08-2019,Gang Leader,Telugu,Vikram Kumar,Nani,40,7.0,1700,0.5,40.0,12.0,52,12,30,7.5,HIT,Comedy
30-08-2019,Chhichhore,Hindi,Nitesh Tiwari,Sushant Singh Rajput,50,7.0,2200,153.0,215.0,50.0,265,215,430,8.3,BLOCKBUSTER,Drama
30-08-2019,Pailwaan,Kannada,S Krishna,Sudeep,45,6.0,1700,0.05,75.0,20.0,95,50,111,6.4,HIT,Sports
30-08-2019,Kaappaan,Tamil,K V Anand,Suriya,90,12.0,2200,0.05,90.0,35.0,125,35,39,6.7,HIT,Action
30-08-2019,Sahoo,Hindi Dub,Sujeeth,Prabhas,350,24.0,4500,150.0,300.0,133.0,433,83,23,5.3,AVERAGE,Action
13-09-2019,Hellaro,Gujarati,Abhishek Shah,Shraddha Dangar,5,0.9,320,0.01,15.0,8.0,23,18,360,8.4,BLOCKBUSTER,Drama
13-09-2019,Section 375,Hindi,Ajay Bahl,Akshaye Khanna,25,1.5,900,10.0,13.0,2.0,15,-10,-40,8.1,FLOP,Drama
13-09-2019,Dream Girl,Hindi,Raaj Shaandilyaa,Ayushmann Khurrana,30,10.0,2500,142.0,200.0,25.0,225,195,650,7.0,BLOCKBUSTER,Comedy
20-09-2019,Password,Bengali,Kamalika Banerjee,Dev,8,1.5,450,0.02,15.0,6.0,21,13,162,6.3,HIT,Crime
20-09-2019,Chal Mera Putt,Punjabi,Janjot Singh,Amrinder Gill,12,3.0,700,0.02,30.0,28.0,58,46,383,7.6,BLOCKBUSTER,Drama
20-09-2019,Namma Veettu Pillai,Tamil,Pandiraj,Sivakarthikeyan,45,6.0,1700,0.05,100.0,30.0,130,85,188,7.0,SUPER HIT,Action
27-09-2019,Kurukshetra,Kannada,Naganna,Darshan,50,8.0,1600,0.2,85.0,20.0,105,55,110,6.6,HIT,Historical
27-09-2019,Gaddalakonda Ganesh,Telugu,Harish Shankar,Varun Tej,35,7.0,1600,0.2,42.0,18.0,60,25,71,7.4,HIT,Action
27-09-2019,Operation Gold Fish,Telugu,Sai Kiran Adivi,Aadi Saikumar,15,1.8,700,0.05,12.0,4.0,16,1,6,5.0,AVERAGE,Action
27-09-2019,Action,Tamil,Sundar C,Vishal,70,6.0,1800,0.05,60.0,20.0,80,10,14,4.6,FLOP,Action
27-09-2019,Sye Raa Narasimha Reddy,Telugu,Surender Reddy,Chiranjeevi,200,50.0,4200,5.0,180.0,110.0,290,90,45,7.4,HIT,Historical
04-10-2019,War,Hindi,Siddharth Anand,Hrithik Roshan,150,53.0,4000,317.0,377.0,95.0,472,322,214,6.5,ALL TIME BLOCKBUSTER,Action
04-10-2019,Joker Hindi Dub,Hindi,Todd Phillips,Joaquin Phoenix,70,2.0,700,15.0,18.0,10.0,28,-42,-60,8.5,FLOP,Comedy
04-10-2019,Joker,Hindi Dub,Todd Phillips,Joaquin Phoenix,150,5.0,900,20.0,30.0,70.0,100,-50,-33,8.4,AVERAGE,Comedy
04-10-2019,Asuran,Tamil,Vetrimaaran,Dhanush,60,12.0,2000,0.05,125.0,20.0,145,85,142,8.4,BLOCKBUSTER,Drama
18-10-2019,Moothon,Malayalam,Geetu Mohandas,Nivin Pauly,15,2.2,900,0.1,15.0,10.0,25,10,66,7.5,HIT,Drama
18-10-2019,Bhajarangi 2,Kannada,A Harsha,Shiva Rajkumar,35,5.0,1300,0.1,50.0,15.0,65,30,86,6.8,HIT,Action
18-10-2019,Laal Kaptaan,Hindi,Navdeep Singh,Saif Ali Khan,45,0.9,800,7.0,9.0,2.0,11,-34,-75,6.3,DISASTER,Action
18-10-2019,Housefull 4,Hindi,Farhad Samji,Akshay Kumar,150,19.0,3800,210.0,240.0,80.0,320,170,113,3.5,HIT,Comedy
