Released_Date,Movie,Star_Power,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens,Rating
03-02-2023,Dada,Kavin,Ganesh K. Babu,Tamil,35,0,30,5,8,Hit,2.3,338,6.5
03-02-2023,Ballabhpurer Roopkotha,Satyam Bhattacharya,Anirban Bhattacharya,Bengali,10,0,8,2,5,Average,0.6,167,7.4
03-02-2023,Vash,Janki Bodiwala,Krishnadev Yagnik,Gujrati,18,0,14,4,6,Hit,0.9,148,6.8
10-02-2023,Shehzada,Kartik Aaryan,Rohit Dhawan,Hindi,47,32,39,8,65,Flop,3.7,3900,5.5
10-02-2023,Baipan Bhari Deva,Rohini Hattangadi,Kedar Shinde,Marathi,85,0,70,15,12,Blockbuster,3.5,582,8.1
10-02-2023,Tu Hovein Main Hovan,Jimmy Sheirgill,Vakil Singh,Punjabi,12,0,10,2,5,Average,0.7,174,6.9
17-02-2023,Selfiee,Akshay Kumar,Raj Mehta,Hindi,23,17,21,2,110,Flop,2.3,6491,4.5
17-02-2023,Belashuru,Soumitra Chatterjee,Nandita & Shiboprosad,Bengali,15,0,12,3,6,Hit,0.8,113,7.5
17-02-2023,Raado,Yash Soni,Krishnadev Yagnik,Gujrati,9,0,7,2,4,Average,0.3,333,6.1
24-02-2023,Valvi,Swapnil Joshi,Paresh Mokashi,Marathi,20,0,16,4,6,Hit,1.1,97,6.9
24-02-2023,Maurh,Ammy Virk,Jatinder Mauhar,Punjabi,22,0,18,4,9,Hit,1.3,644,7.5
03-03-2023,Balagam,Priyadarshi,Venu Yeldandi,Telugu,26,0,20,6,5,Hit,1.5,117,8.3
03-03-2023,Shivaji Surathkal 2,Ramesh Aravind,Akash Srivatsa,Kannada,30,0,24,6,10,Hit,0.9,420,7.2
03-03-2023,Bagha Jatin,Dev,Arun Roy,Bengali,20,0,16,4,8,Hit,1.2,398,7.6
03-03-2023,Hurry Om Hurry,Raunaq Kamdar,Nisarg Vaidya,Gujrati,7,0,6,1,3,Average,0.3,259,5.8
08-03-2023,TJMM,Ranbir Kapoor,Luv Ranjan,Hindi,220,149,177,43,95,Hit,20.6,2897,7.2
10-03-2023,Kabzaa,Upendra,R. Chandru,Kannada,45,0,35,10,120,Flop,4.1,5177,4.8
10-03-2023,Chal Jindiye,Kulwinder Billa,Uday Pratap Singh,Punjabi,9,0,7,2,4,Average,0.4,198,6.8
17-03-2023,Ekda Kay Zala,Sumeet Raghavan,Saleel Kulkarni,Marathi,8,0,6,2,5,Average,0.3,204,7.0
17-03-2023,Ardhangini,Jaya Ahsan,Kaushik Ganguly,Bengali,9,0,7,2,4,Average,0.4,281,6.5
17-03-2023,Love Ni Bhavai (Re),Malhar Thakar,Saandeep Patel,Gujrati,5,0,4,1,2,Flop,0.3,142,7.5
24-03-2023,Annhi Dea Mazaak Ae,Ammy Virk,Rakesh Dhawan,Punjabi,14,0,11,3,6,Average,0.7,183,7.8
30-03-2023,Bholaa,Ajay Devgn,Ajay Devgn,Hindi,111,82,98,13,100,Average,9.0,6719,5.8
31-03-2023,Dasara,Nani,Srikanth Odela,Telugu,120,0,92,28,65,Hit,11.6,2292,6.5
31-03-2023,Takatak 2,Prathamesh Parab,Milind Zamberkar,Marathi,15,0,12,3,7,Average,0.6,249,5.9
31-03-2023,Cheeni 2,Madhumita Sarcar,Mainak Bhaumik,Bengali,12,0,9,3,5,Average,0.7,117,6.2
31-03-2023,Aum Mangalam Singlem,Malhar Thakar,Saandeep Patel,Gujrati,20,0,16,4,7,Hit,0.9,247,7.1
07-04-2023,Ravanasura,Ravi Teja,Sudheer Varma,Telugu,29,0,24,5,50,Flop,2.6,4234,5.8
07-04-2023,Medal,Jayy Randhawa,Maneesh Bhatt,Punjabi,8,0,6,2,4,Average,0.3,120,6.4
14-04-2023,Gondya Ala Re,Bhushan Pradhan,Ankur Kakatkar,Marathi,6,0,5,1,4,Flop,0.3,147,7.0
14-04-2023,Khela Jawkhon,Mimi Chakraborty,Arindam Sil,Bengali,6,0,5,1,3,Flop,0.3,89,6.5
14-04-2023,Bachubhai,Siddharth Randeria,Rahul Bhole,Gujrati,6,0,5,1,3,Average,0.4,285,7.2
21-04-2023,Kisi Ka Bhai Kisi Ki Jaan,Salman Khan,Farhad Samji,Hindi,184,110,133,51,125,Average,16.8,5026,3.9
21-04-2023,Chal Jindiye,Neeru Bajwa,Uday Pratap Singh,Punjabi,7,0,6,1,3,Average,0.4,109,6.8
22-04-2023,Virupaksha,Sai Dharam Tej,Karthik Varma,Telugu,103,0,85,18,40,Hit,5.8,978,7.4
28-04-2023,Mayaa,Rafiath Rashid,Raajhorshee De,Bengali,5,0,4,1,3,Flop,0.3,295,6.1
28-04-2023,Chhello Show (Re),Bhavin Rabari,Pan Nalin,Gujrati,10,0,8,2,4,Average,0.5,141,8.1
05-05-2023,The Kerala Story,Adah Sharma,Sudipto Sen,Hindi,303,242,290,13,30,Blockbuster,19.9,1808,7.1
05-05-2023,Ugram,Allari Naresh,Vijay Kanakamedala,Telugu,42,0,32,10,30,Average,2.6,1771,6.3
05-05-2023,Savarkhed Ek Gaon,Shreyas Talpade,Rajiv Patil,Marathi,5,0,4,1,3,Flop,0.3,147,7.0
05-05-2023,Carry on Jatta 3,Gippy Grewal,Smeep Kang,Punjabi,120,0,90,30,20,Blockbuster,9.2,1054,7.5
12-05-2023,IB71,Vidyut Jammwal,Sankalp Reddy,Hindi,41,30,36,5,45,Average,2.3,1616,7.1
12-05-2023,Pachuvum Athbutha,Fahadh Faasil,Akhil Sathyan,Malayalam,25,0,18,7,8,Hit,1.6,577,7.0
12-05-2023,Bhootpori,Jaya Ahsan,Soukarya Ghosal,Bengali,11,0,9,2,5,Average,0.5,121,5.8
12-05-2023,Naadi Dosh,Yash Soni,Krishnadev Yagnik,Gujrati,8,0,6,2,3,Average,0.4,216,6.2
19-05-2023,Chowk,Pravin Tarde,Devendra Gaikwad,Marathi,7,0,6,1,4,Average,0.4,84,6.0
19-05-2023,Mastaney,Tarsem Jassar,Sharan Art,Punjabi,80,0,60,20,18,Blockbuster,5.0,859,7.8
26-05-2023,2018,Tovino Thomas,Jude Anthany Joseph,Malayalam,177,0,140,37,30, All Time Blockbuster,13.6,1775,8.5
26-05-2023,Haami 2,Shiboprosad,Nandita & Shiboprosad,Bengali,14,0,11,3,6,Hit,0.4,270,7.3
26-05-2023,Welcome Purnima,Hiten Kumar,Rishil Joshi,Gujrati,6,0,5,1,3,Flop,0.3,235,6.8
02-06-2023,Good Night,Manikandan,Vinayak Chandrasekaran,Tamil,52,0,40,12,10,Hit,2.8,554,7.2
02-06-2023,Valatty,Roshan Mathew,Devan,Malayalam,16,0,12,4,8,Average,1.0,860,7.0
02-06-2023,Bamboo,Abhinay Berde,Vishal Devrukhkar,Marathi,9,0,7,2,4,Average,0.3,201,6.5
02-06-2023,Jodi,Diljit Dosanjh,Amberdeep Singh,Punjabi,25,0,20,5,10,Hit,1.5,890,7.6
09-06-2023,Moner Manush (Re),Prosenjit,Goutam Ghose,Bengali,8,0,6,2,3,Average,0.5,113,7.8
09-06-2023,Tari Maate Once More,Bharat Chawda,Saurin Chaudhary,Gujrati,7,0,6,1,3,Average,0.3,314,6.9
16-06-2023,Adipurush,Prabhas,Om Raut,Multi,392,288,340,52,600,Flop,36.0,6000,3.5
16-06-2023,Subhedar,Chinmay Mandlekar,Digpal Lanjekar,Marathi,60,0,48,12,18,Blockbuster,3.4,654,7.5
16-06-2023,Junior,Amiek Virk,Harman Dhillon,Punjabi,10,0,8,2,5,Average,0.4,94,6.1
23-06-2023,Byomkesh O Durgo,Dev,Birsa Dasgupta,Bengali,22,0,18,4,9,Hit,0.6,781,7.2
23-06-2023,Shubh Yatra,Malhar Thakar,Manish Saini,Gujrati,15,0,12,3,6,Hit,0.6,170,6.5
29-06-2023,Satyaprem Ki Katha,Kartik Aaryan,Sameer Vidwans,Hindi,118,77,92,26,60,Average,11.3,3343,7.4
30-06-2023,Samajavaragamana,Sree Vishnu,Ram Abbaraju,Telugu,60,0,48,12,20,Hit,3.2,1284,6.8
30-06-2023,Aflatoon,Siddharth Jadhav,Paritosh Painter,Marathi,4,0,3,1,2,Flop,0.3,279,6.5
30-06-2023,Mitti De Tibbe,Singga,Garry Khatrao,Punjabi,6,0,5,1,3,Flop,0.3,140,7.0
07-07-2023,Maaveeran,Sivakarthikeyan,Madonne Ashwin,Tamil,89,0,72,17,40,Hit,4.2,997,6.8
07-07-2023,Hostel Hudugaru Bekagiddare,Newcomers,Nithin Krishnamurthy,Kannada,50,0,38,12,10,Hit,2.1,599,7.8
07-07-2023,Raktabeej,Victor Banerjee,Nandita & Shiboprosad,Bengali,18,0,14,4,7,Average,0.7,327,6.2
07-07-2023,Hu Tara Vina Kem Rahi Sakish,Newcomers,Rajesh Bhatt,Gujrati,5,0,4,1,2,Flop,0.3,236,6.8
14-07-2023,Raavsaheb,Newcomers,Nikhil Mahajan,Marathi,6,0,5,1,3,Average,0.3,83,7.0
14-07-2023,Kade Dade Diyan Kade Pote Diyan,Sonam Bajwa,Simerjit Singh,Punjabi,12,0,10,2,5,Average,0.8,128,7.2
21-07-2023,Neru,Mohanlal,Jeethu Joseph,Malayalam,90,0,70,20,40,Hit,5.1,1008,7.5
21-07-2023,Chengiz,Jeet,Rajesh Ganguly,Bengali,25,0,20,5,10,Hit,1.6,351,6.5
21-07-2023,Lagan Special,Malhar Thakar,Rahul Bhole,Gujrati,6,0,5,1,3,Average,0.3,215,6.2
28-07-2023,Bro,Pawan Kalyan,Samuthirakani,Telugu,110,0,80,30,75,Average,9.6,2167,6.4
28-07-2023,Ekda Yeun Tar Bagha,Prasad Oak,Prasad Oak,Marathi,5,0,4,1,3,Flop,0.3,136,6.8
28-07-2023,Any How Mitti Pao,Harish Verma,Janjot Singh,Punjabi,9,0,7,2,4,Average,0.3,135,5.9
04-08-2023,Dawshom Awbotaar,Prosenjit,Srijit Mukherji,Bengali,35,0,28,7,12,Blockbuster,1.5,321,7.1
04-08-2023,3 Ekka (Re),Malhar Thakar,Rajesh Sharma,Gujrati,4,0,3,1,2,Flop,0.3,232,5.8
11-08-2023,Gadar 2,Sunny Deol,Anil Sharma,Hindi,691,525,620,71,80,Blockbuster,40.0,7000,5.7
11-08-2023,OMG 2,Akshay Kumar,Amit Rai,Hindi,221,151,179,42,95,Super Hit,10.5,3500,7.8
11-08-2023,Ghar Banduk Biryani,Sumeet Raghavan,Nagraj Manjule,Marathi,12,0,9,3,5,Average,0.5,289,6.8
11-08-2023,Buhey Bariyan,Neeru Bajwa,Uday Pratap Singh,Punjabi,7,0,6,1,3,Average,0.3,221,7.0
18-08-2023,Jailer,Rajinikanth,Nelson Dilipkumar,Tamil,605,0,420,185,200,Blockbuster,46.0,6500,6.8
18-08-2023,Bogla Mama Jug Jug Jiyo,Riddhi Sen,Dhrubo Banerjee,Bengali,9,0,7,2,4,Average,0.4,188,6.2
18-08-2023,Kasoombo,Raunaq Kamdar,Vijaygiri Bava,Gujrati,12,0,9,3,5,Average,0.4,121,7.0
24-08-2023,King of Kotha,Dulquer Salmaan,Abhilash Joshiy,Malayalam,38,0,28,10,50,Flop,3.7,4154,6.2
25-08-2023,Naal 2,Jitendra Joshi,Sudhakar Reddy,Marathi,45,0,36,9,10,Blockbuster,1.6,523,6.5
25-08-2023,Gaddi Jaandi Ae Chalaangaan Maardi,Ammy Virk,Smeep Kang,Punjabi,11,0,9,2,4,Average,0.5,253,7.1
01-09-2023,Kushi,Vijay Deverakonda,Shiva Nirvana,Telugu,80,0,65,15,50,Average,4.6,2063,7.1
01-09-2023,Mitin Mashi,Koel Mallick,Arindam Sil,Bengali,8,0,6,2,3,Average,0.4,273,7.3
01-09-2023,Hu Tari Sathe,Newcomers,New Director,Gujrati,5,0,4,1,2,Flop,0.3,87,6.5
07-09-2023,Jawan,Shah Rukh Khan,Atlee,Hindi,1148,640,762,386,300,Blockbuster,75.0,11000,6.8
08-09-2023,RDX,Shane Nigam,Nahas Hidayath,Malayalam,84,0,65,19,25,Blockbuster,5.6,1123,7.2
08-09-2023,Teen Adkun Sitaram,Vaibhav Tatwawadi,Hrishikesh Joshi,Marathi,10,0,8,2,4,Average,0.3,85,6.0
08-09-2023,Munda Southall Da,Armaan Bedil,Sukh Sanghera,Punjabi,13,0,10,3,5,Average,0.4,295,6.8
15-09-2023,Sapta Sagaradaache,Rakshit Shetty,Hemanth Rao,Kannada,45,0,35,10,20,Hit,2.2,1713,8.1
15-09-2023,Hatyapuri,Indraneil Sengupta,Sandip Ray,Bengali,10,0,8,2,4,Average,0.3,106,6.8
15-09-2023,Samandar,Mayur Chauhan,Vishal Vada Vala,Gujrati,6,0,5,1,3,Average,0.4,275,6.2
22-09-2023,Jaggu Ani Juliet,Amey Wagh,Mahesh Limaye,Marathi,7,0,6,1,3,Average,0.3,304,7.0
22-09-2023,Cheta Singh,Prince Kanwaljit,Ashish Kumar,Punjabi,8,0,6,2,4,Average,0.3,260,7.1
28-09-2023,Fukrey 3,Pulkit Samrat,Mrighdeep Lamba,Hindi,128,95,113,15,40,Hit,9.7,1210,6.5
29-09-2023,Shibpur,Parambrata,Arindam Bhattacharya,Bengali,7,0,6,1,3,Average,0.3,83,6.5
29-09-2023,Kutch Express,Ratna Pathak Shah,Viral Shah,Gujrati,14,0,11,3,6,Hit,0.4,136,6.8
06-10-2023,Mission Raniganj,Akshay Kumar,Tinu Suresh Desai,Hindi,47,34,40,7,55,Flop,3.7,2453,7.3
06-10-2023,Boys 4,Parth Bhalerao,Vishal Devrukhkar,Marathi,18,0,14,4,6,Hit,1.1,193,6.2
06-10-2023,Maurh (Re),Ammy Virk,Jatinder Mauhar,Punjabi,6,0,5,1,3,Average,0.3,300,7.5
13-10-2023,Jongole Mitin Mashi,Koel Mallick,Arindam Sil,Bengali,9,0,7,2,4,Average,0.4,150,7.0
13-10-2023,Hu To Gayo,Dharmesh Vyas,Dharmesh Vyas,Gujrati,7,0,6,1,3,Average,0.3,239,6.5
19-10-2023,Leo,Vijay,Lokesh Kanagaraj,Tamil,600,0,420,180,250,Hit,42.0,6000,6.5
20-10-2023,Sari,Newcomers,Ashoke Pandit,Marathi,8,0,6,2,4,Average,0.3,248,6.8
20-10-2023,Parinda Paar Geyaa,Gurnam Bhullar,Ksshitij Chaudhary,Punjabi,7,0,6,1,3,Average,0.3,229,6.5
27-10-2023,Baazi,Jeet,Anshuman Pratyush,Bengali,6,0,5,1,3,Flop,0.4,159,6.2
27-10-2023,Mari Life Tari Sathe,Newcomers,New Director,Gujrati,5,0,4,1,2,Flop,0.3,286,6.5
03-11-2023,Baaplyok,Shashank Shende,Makarand Mane,Marathi,6,0,5,1,3,Average,0.3,314,6.2
03-11-2023,Ni Main Sass Kuttni 2,Anita Devgan,Parveen Kumar,Punjabi,15,0,12,3,6,Hit,0.9,321,6.8
10-11-2023,Durgo Rawhoshyo,Anirban Bhattacharya,Sayantan Ghosal,Bengali,11,0,9,2,5,Average,0.3,194,7.0
10-11-2023,Hu Tari Paase,Newcomers,New Director,Gujrati,6,0,5,1,3,Average,0.3,152,6.5
12-11-2023,Tiger 3,Salman Khan,Maneesh Sharma,Hindi,466,260,330,136,300,Average,41.0,9217,5.1
17-11-2023,Ghost,Shiva Rajkumar,M. G. Srinivas,Kannada,30,0,22,8,40,Average,2.2,995,5.5
17-11-2023,Alibaba Aani Chalishitale Chor,Subodh Bhave,Aditya Ingale,Marathi,5,0,4,1,3,Flop,0.3,345,6.5
17-11-2023,Bina Band Chal England,Roshan Prince,Sunita Dhir,Punjabi,9,0,7,2,4,Average,0.3,126,6.2
24-11-2023,Bagha Jatin (Re),Dev,Arun Roy,Bengali,7,0,6,1,3,Average,0.4,84,7.6
24-11-2023,Mari Vaat Karje,Newcomers,New Director,Gujrati,5,0,4,1,2,Flop,0.3,111,6.2
01-12-2023,Animal,Ranbir Kapoor,Sandeep Reddy Vanga,Hindi,917,556,662,255,200,Blockbuster,70.0,8500,6.9
01-12-2023,Ankush,Deepraj,Nishant Dhapse,Marathi,9,0,7,2,4,Average,0.4,153,5.8
01-12-2023,Gaddi Jaandi (Re),Ammy Virk,Smeep Kang,Punjabi,5,0,4,1,2,Flop,0.3,255,7.1
08-12-2023,Bhuban Babur Smart Phone,Paran Bandopadhyay,Santanu Basu,Bengali,5,0,4,1,2,Flop,0.3,135,6.5
08-12-2023,Tari Yaad Ma,Newcomers,New Director,Gujrati,4,0,3,1,2,Flop,0.3,116,6.8
15-12-2023,Gharat Ganpati,Nikita Dutta,Navjyot Gulati,Marathi,6,0,5,1,3,Average,0.3,315,6.5
15-12-2023,Annhi Dea (Re),Ammy Virk,Rakesh Dhawan,Punjabi,4,0,3,1,2,Flop,0.3,242,7.8
21-12-2023,Dunki,Shah Rukh Khan,Rajkumar Hirani,Hindi,470,227,280,190,120,Hit,45.0,4526,6.4
22-12-2023,Salaar,Prabhas,Prashanth Neel,Telugu,617,152,185,432,270,Hit,59.7,8465,6.5
22-12-2023,Kaatera,Darshan,Tharun Sudhir,Kannada,70,0,55,15,25,Hit,2.9,1526,6.2
